page,site,sessions,totalUsers,screenPageViews,averageSessionDuration,engagementRate
/,lp,84.0,53.0,102.0,38.00189997619047,41.66666666666667
/term_use/,lp,4.0,4.0,4.0,23.7732165,50.0
/voice/,lp,4.0,4.0,4.0,37.496284,100.0
/saga_bot/,lp,1.0,1.0,1.0,12.141995,100.0
