date,clicks,impressions,ctr,position
2026-06-26,2.0,35.0,5.714285714285714,9.714285714285714
2026-06-27,1.0,31.0,3.225806451612903,12.870967741935484
2026-06-28,1.0,56.0,1.7857142857142856,10.75
2026-06-29,2.0,38.0,5.263157894736842,10.289473684210526
2026-06-30,3.0,50.0,6.0,11.98
2026-07-01,0.0,51.0,0.0,10.058823529411764
2026-07-02,0.0,57.0,0.0,9.859649122807017
2026-07-03,1.0,38.0,2.631578947368421,8.736842105263158
2026-07-04,0.0,45.0,0.0,7.6
2026-07-05,2.0,35.0,5.714285714285714,9.628571428571428
2026-07-06,1.0,55.0,1.8181818181818181,8.672727272727272
2026-07-07,2.0,38.0,5.263157894736842,8.973684210526315
2026-07-08,0.0,42.0,0.0,7.976190476190476
2026-07-09,1.0,47.0,2.127659574468085,11.02127659574468
2026-07-10,3.0,39.0,7.6923076923076925,12.820512820512821
2026-07-11,3.0,39.0,7.6923076923076925,8.743589743589745
2026-07-12,1.0,47.0,2.127659574468085,11.76595744680851
2026-07-13,1.0,57.0,1.7543859649122806,10.807017543859649
2026-07-14,3.0,49.0,6.122448979591836,11.122448979591837
2026-07-15,1.0,52.0,1.9230769230769231,8.788461538461538
2026-07-16,1.0,33.0,3.0303030303030303,9.545454545454545
2026-07-17,2.0,37.0,5.405405405405405,11.405405405405405
2026-07-18,8.0,28.0,28.57142857142857,10.25
2026-07-19,3.0,43.0,6.976744186046512,8.790697674418604
2026-07-20,5.0,87.0,5.747126436781609,7.597701149425287
2026-07-21,8.0,77.0,10.38961038961039,7.116883116883117
