channel,sessions,totalUsers,screenPageViews,averageSessionDuration,engagementRate
Direct,51.0,37.0,60.0,25.859608274509807,29.411764705882355
Organic Search,31.0,15.0,46.0,64.14297393548387,54.83870967741935
Referral,4.0,4.0,5.0,35.52684525,75.0
